editid,editor,oldrevisionid,newrevisionid,diffurl,edittime,editcomment,articleid,articletitle,editid_1,class
27707,173.50.34.39,329514400,329514618,http://en.wikipedia.org/w/index.php?diff=329514618&oldid=329514400,2009-12-03T19:39:03Z,/* Personal life */,777165,Pearl Bailey,27707,vandalism
27718,65.254.11.19,328683717,328807408,http://en.wikipedia.org/w/index.php?diff=328807408&oldid=328683717,2009-11-30T14:48:02Z,/* See also */,21492837,Nubia,27718,vandalism
27789,98.227.117.37,324214677,327569418,http://en.wikipedia.org/w/index.php?diff=327569418&oldid=324214677,2009-11-24T00:11:17Z,/* The 1970s: The Perfect Season and the Super Bowl Titles */,9977122,History of the Miami Dolphins,27789,vandalism
27790,216.243.212.196,321473889,326942053,http://en.wikipedia.org/w/index.php?diff=326942053&oldid=321473889,2009-11-20T15:45:42Z,/* Plot */,8720012,Dr. Heideggers Experiment,27790,vandalism
27799,98.232.135.72,327329336,328747305,http://en.wikipedia.org/w/index.php?diff=328747305&oldid=327329336,2009-11-30T06:15:45Z,null,176955,Blake,27799,vandalism
27889,71.178.197.175,306136152,327319853,http://en.wikipedia.org/w/index.php?diff=327319853&oldid=306136152,2009-11-22T18:02:27Z,/* Notable alumni */,9401321,Matthew Fontaine Maury High School,27889,vandalism
27890,86.44.25.78,328988380,329108698,http://en.wikipedia.org/w/index.php?diff=329108698&oldid=328988380,2009-12-01T20:58:57Z,/* Parts of the nail */,397986,Nail (anatomy),27890,vandalism
27891,Prommatee,327868971,327967185,http://en.wikipedia.org/w/index.php?diff=327967185&oldid=327868971,2009-11-26T01:31:31Z,/* External links */,1555671,Online advertising,27891,vandalism
27930,67.49.166.146,329779573,329813193,http://en.wikipedia.org/w/index.php?diff=329813193&oldid=329779573,2009-12-05T04:51:52Z,/* Fictional (sub)atomic particles */ Moson,2533091,"List of fictional elements, materials, isotopes and atomic particles",27930,vandalism
27948,110.36.38.170,327446998,327447627,http://en.wikipedia.org/w/index.php?diff=327447627&oldid=327446998,2009-11-23T09:22:34Z,/* External links */,1126613,Jadoon,27948,vandalism
27972,66.255.16.50,329292364,329298327,http://en.wikipedia.org/w/index.php?diff=329298327&oldid=329292364,2009-12-02T19:51:56Z,/* Argus Filch */,947583,Hogwarts staff,27972,vandalism
27995,92.41.150.103,323791477,327378866,http://en.wikipedia.org/w/index.php?diff=327378866&oldid=323791477,2009-11-23T00:15:47Z,/* Publications */,2533754,Germar Rudolf,27995,vandalism
28008,92.28.173.12,328089475,328636428,http://en.wikipedia.org/w/index.php?diff=328636428&oldid=328089475,2009-11-29T19:19:29Z,null,247756,Music of China,28008,vandalism
28055,Hellbeak,328211040,328211241,http://en.wikipedia.org/w/index.php?diff=328211241&oldid=328211040,2009-11-27T14:18:41Z,/* Attributes */,1130636,Master Chief (Halo),28055,vandalism
28066,75.212.90.216,328644201,328644317,http://en.wikipedia.org/w/index.php?diff=328644317&oldid=328644201,2009-11-29T19:59:31Z,/* Geography */,6024874,"Santa Clarita, California",28066,vandalism
28133,24.235.157.86,327062520,327743559,http://en.wikipedia.org/w/index.php?diff=327743559&oldid=327062520,2009-11-24T21:55:54Z,null,1441665,Matt Millen,28133,vandalism
28151,Pastaboila,320845426,327426561,http://en.wikipedia.org/w/index.php?diff=327426561&oldid=320845426,2009-11-23T06:16:02Z,/* External links */,520442,Nichrome,28151,vandalism
28161,98.157.193.38,316472288,329152321,http://en.wikipedia.org/w/index.php?diff=329152321&oldid=316472288,2009-12-02T01:05:57Z,/* Episodes */,21304250,Burn Notice (season 2),28161,vandalism
28200,86.3.214.177,328457320,328457437,http://en.wikipedia.org/w/index.php?diff=328457437&oldid=328457320,2009-11-28T22:03:45Z,[[WP:UNDO|Undid]] revision 328064766 by [[Special:Contributions/Billydevil|Billydevil]] ([[User talk:Billydevil|talk]]),24353784,Qadbak Investments,28200,vandalism
28211,68.19.88.67,327318506,327332059,http://en.wikipedia.org/w/index.php?diff=327332059&oldid=327318506,2009-11-22T19:23:35Z,/* Overview. Iraqi death estimates by source */,202089,Casualties of the Iraq War,28211,vandalism
28225,64.39.136.191,324374842,328151560,http://en.wikipedia.org/w/index.php?diff=328151560&oldid=324374842,2009-11-27T04:10:15Z,/* Departments */,14497473,Thomas County Central High School,28225,vandalism
28245,LitUpBC,329176702,329176791,http://en.wikipedia.org/w/index.php?diff=329176791&oldid=329176702,2009-12-02T03:42:17Z,/* Results */,1133844,"United States Senate elections, 2008",28245,vandalism
28308,120.28.116.96,313821414,329460277,http://en.wikipedia.org/w/index.php?diff=329460277&oldid=313821414,2009-12-03T14:36:43Z,/* Videos */,14002437,Zeebee,28308,vandalism
28332,128.59.63.127,307664245,329698328,http://en.wikipedia.org/w/index.php?diff=329698328&oldid=307664245,2009-12-04T17:34:46Z,null,11370623,Stuart Rabinowitz,28332,vandalism
28335,92.14.112.190,327434521,329072595,http://en.wikipedia.org/w/index.php?diff=329072595&oldid=327434521,2009-12-01T17:54:14Z,/* Career */,3160057,Stephen Graham (actor),28335,vandalism
28340,86.6.46.52,328007726,328271051,http://en.wikipedia.org/w/index.php?diff=328271051&oldid=328007726,2009-11-27T21:46:00Z,null,7438610,Dr Pepper,28340,vandalism
28357,98.24.168.69,326851589,327527236,http://en.wikipedia.org/w/index.php?diff=327527236&oldid=326851589,2009-11-23T20:01:40Z,/* In captivity */,2184979,Pig-nosed Turtle,28357,vandalism
28360,170.158.155.60,326240198,327518707,http://en.wikipedia.org/w/index.php?diff=327518707&oldid=326240198,2009-11-23T19:10:34Z,/* Description */,359070,Burrowing Owl,28360,vandalism
28368,67.85.145.174,328513082,329127306,http://en.wikipedia.org/w/index.php?diff=329127306&oldid=328513082,2009-12-01T22:35:30Z,null,1665702,Duane Martin,28368,vandalism
28392,75.34.185.119,324252097,328451867,http://en.wikipedia.org/w/index.php?diff=328451867&oldid=324252097,2009-11-28T21:31:19Z,/* Zoned K-8 S */,2958319,List of schools in Chicago Public Schools,28392,vandalism
28425,96.11.179.211,328750753,329033956,http://en.wikipedia.org/w/index.php?diff=329033956&oldid=328750753,2009-12-01T14:14:03Z,null,38257,Electrolysis,28425,vandalism
28448,203.97.23.22,327465652,328723641,http://en.wikipedia.org/w/index.php?diff=328723641&oldid=327465652,2009-11-30T03:17:02Z,null,24250561,Al Aziziyah,28448,vandalism
28452,70.18.11.94,323974686,327178052,http://en.wikipedia.org/w/index.php?diff=327178052&oldid=323974686,2009-11-21T21:51:19Z,/* Appearance */,6439437,Melinda Sordino,28452,vandalism
28473,38.116.200.67,327715887,327716137,http://en.wikipedia.org/w/index.php?diff=327716137&oldid=327715887,2009-11-24T19:31:19Z,null,105770,Diet Coke,28473,vandalism
28485,205.154.44.2,329739995,329740362,http://en.wikipedia.org/w/index.php?diff=329740362&oldid=329739995,2009-12-04T21:21:40Z,/* California statehood (1850 and beyond) */,59453,Spanish missions in California,28485,vandalism
28490,94.168.133.53,327028848,328681179,http://en.wikipedia.org/w/index.php?diff=328681179&oldid=327028848,2009-11-29T23:04:25Z,null,12823780,Falkirk High School,28490,vandalism
28496,166.113.0.55,328230850,329042565,http://en.wikipedia.org/w/index.php?diff=329042565&oldid=328230850,2009-12-01T15:11:33Z,/* Beginnings */,746723,Kohls,28496,vandalism
28499,97.88.137.10,327589251,327589849,http://en.wikipedia.org/w/index.php?diff=327589849&oldid=327589251,2009-11-24T02:27:37Z,null,84228,Compound bow,28499,vandalism
28522,64.134.186.3,328655820,328655882,http://en.wikipedia.org/w/index.php?diff=328655882&oldid=328655820,2009-11-29T20:56:54Z,null,5062759,Don Buddin,28522,vandalism
28533,Shawnstepleton1,328148240,328166499,http://en.wikipedia.org/w/index.php?diff=328166499&oldid=328148240,2009-11-27T06:29:57Z,/* History */,19174720,Battery (electricity),28533,vandalism
28621,Download,328147854,328147863,http://en.wikipedia.org/w/index.php?diff=328147863&oldid=328147854,2009-11-27T03:39:49Z,Reverted edits by [[Special:Contributions/99.238.225.201|99.238.225.201]] to last revision by Borgo100 ([[Wikipedia:Huggle|HG]]),7327156,Eastview Secondary School,28621,vandalism
28653,BeeSterling,327785429,327785941,http://en.wikipedia.org/w/index.php?diff=327785941&oldid=327785429,2009-11-25T02:10:56Z,/* TEAM HISTORY */,25141633,Mount Holyoke College Girls Golf Team,28653,vandalism
28656,12.127.238.46,329161144,329271775,http://en.wikipedia.org/w/index.php?diff=329271775&oldid=329161144,2009-12-02T17:17:02Z,null,68244,Bonnie and Clyde,28656,vandalism
28666,124.179.41.12,328291173,328517601,http://en.wikipedia.org/w/index.php?diff=328517601&oldid=328291173,2009-11-29T04:08:27Z,/* Metropolitan channels */,20354129,Freeview (Australia),28666,vandalism
28671,193.178.217.17,325760879,327484593,http://en.wikipedia.org/w/index.php?diff=327484593&oldid=325760879,2009-11-23T15:24:27Z,[[WP:AES|←]]Blanked the page,21606258,ChoiceOdds,28671,vandalism
28678,65.71.204.253,329509119,329509452,http://en.wikipedia.org/w/index.php?diff=329509452&oldid=329509119,2009-12-03T19:12:26Z,/* Italy */,247817,Welfare,28678,vandalism
28700,206.176.125.195,327190956,327711318,http://en.wikipedia.org/w/index.php?diff=327711318&oldid=327190956,2009-11-24T19:01:36Z,null,63166,R2-D2,28700,vandalism
28714,194.83.198.199,326020903,326911931,http://en.wikipedia.org/w/index.php?diff=326911931&oldid=326020903,2009-11-20T11:29:36Z,"/* Hiddink era, 1987–1990 */",79820,PSV Eindhoven,28714,vandalism
28727,156.12.68.66,327834258,329055988,http://en.wikipedia.org/w/index.php?diff=329055988&oldid=327834258,2009-12-01T16:26:18Z,/* Accounting */,1698333,Amortization (business),28727,vandalism
28738,196.221.207.226,327327248,327351717,http://en.wikipedia.org/w/index.php?diff=327351717&oldid=327327248,2009-11-22T21:24:59Z,null,70718,Ivan IV of Russia,28738,vandalism
28801,216.109.11.194,329308627,329308718,http://en.wikipedia.org/w/index.php?diff=329308718&oldid=329308627,2009-12-02T20:55:36Z,/* Education */,14698919,"Curry, Alabama",28801,vandalism
28834,92.3.181.167,329933063,329933280,http://en.wikipedia.org/w/index.php?diff=329933280&oldid=329933063,2009-12-05T21:04:57Z,/* Episodes */,2730085,Thomas and Friends – Series 5,28834,vandalism
28837,Steele eleets,326943319,328440431,http://en.wikipedia.org/w/index.php?diff=328440431&oldid=326943319,2009-11-28T20:26:02Z,null,84239,Peeps,28837,vandalism
28859,76.104.172.134,329045362,329932324,http://en.wikipedia.org/w/index.php?diff=329932324&oldid=329045362,2009-12-05T20:59:19Z,/* Soul food and health */,27910,Soul food,28859,vandalism
28869,Sp star loveit,320128111,329638924,http://en.wikipedia.org/w/index.php?diff=329638924&oldid=320128111,2009-12-04T09:45:34Z,/* Education */,1133741,"Kyneton, Victoria",28869,vandalism
28881,Blakdead6,328237390,328328021,http://en.wikipedia.org/w/index.php?diff=328328021&oldid=328237390,2009-11-28T05:25:50Z,/* History */,13631667,Uncyclopedia,28881,vandalism
28883,195.224.166.158,329868725,329869031,http://en.wikipedia.org/w/index.php?diff=329869031&oldid=329868725,2009-12-05T13:41:32Z,/* Discography */,23861256,Imran Khan (singer),28883,vandalism
28952,86.61.72.29,326661560,328199162,http://en.wikipedia.org/w/index.php?diff=328199162&oldid=326661560,2009-11-27T12:24:40Z,/* Mesoamerica */,6693851,History of chocolate,28952,vandalism
29007,96.247.65.179,327600699,327600904,http://en.wikipedia.org/w/index.php?diff=327600904&oldid=327600699,2009-11-24T03:48:16Z,/* Test */,5366688,Advanced Placement exams,29007,vandalism
29013,65.33.80.65,326680231,328681935,http://en.wikipedia.org/w/index.php?diff=328681935&oldid=326680231,2009-11-29T23:08:46Z,null,24441987,Matt Mitrione,29013,vandalism
29028,71.224.212.163,326944849,327366635,http://en.wikipedia.org/w/index.php?diff=327366635&oldid=326944849,2009-11-22T22:58:49Z,null,211285,Landfill,29028,vandalism
29040,83.100.232.246,328018165,328030588,http://en.wikipedia.org/w/index.php?diff=328030588&oldid=328018165,2009-11-26T12:06:47Z,/* Primary */,20969875,List of Black Butler characters,29040,vandalism
29076,68.24.83.60,327424844,328111518,http://en.wikipedia.org/w/index.php?diff=328111518&oldid=327424844,2009-11-26T22:51:51Z,/* Students */,4741216,Basic High School,29076,vandalism
29078,94.3.199.209,327113746,327297841,http://en.wikipedia.org/w/index.php?diff=327297841&oldid=327113746,2009-11-22T15:26:53Z,/* History */,182547,Trowbridge,29078,vandalism
29099,91.187.103.60,328412925,329267879,http://en.wikipedia.org/w/index.php?diff=329267879&oldid=328412925,2009-12-02T16:53:20Z,/* Fenerbahçe */,2401131,Diego Lugano,29099,vandalism
29123,66.66.191.129,329767393,329767509,http://en.wikipedia.org/w/index.php?diff=329767509&oldid=329767393,2009-12-04T23:49:27Z,/* Protagonists */,2918213,Children of the Red King,29123,vandalism
29144,PseudoBot,328446175,328446196,http://en.wikipedia.org/w/index.php?diff=328446196&oldid=328446175,2009-11-28T20:57:37Z,Reverting edits by [[Special:Contributions/Nooma16|Nooma16]]: no link to any page,19818,16-Mar,29144,vandalism
29162,165.138.163.5,327902103,327902688,http://en.wikipedia.org/w/index.php?diff=327902688&oldid=327902103,2009-11-25T18:44:04Z,/* Appearance */,274779,Bernese Mountain Dog,29162,vandalism
29167,207.235.133.125,290313408,329457325,http://en.wikipedia.org/w/index.php?diff=329457325&oldid=290313408,2009-12-03T14:15:52Z,null,298180,Gerald Stern,29167,vandalism
29170,206.226.144.3,327482300,327482538,http://en.wikipedia.org/w/index.php?diff=327482538&oldid=327482300,2009-11-23T15:09:54Z,"/* Buck, the real dog - Marshall Bonds Jack */",1905952,Buck (dog),29170,vandalism
29173,74.240.251.24,326957632,327230772,http://en.wikipedia.org/w/index.php?diff=327230772&oldid=326957632,2009-11-22T04:05:35Z,/* Gnash */,3273619,List of NHL mascots,29173,vandalism
29185,98.31.34.197,329057550,329106319,http://en.wikipedia.org/w/index.php?diff=329106319&oldid=329057550,2009-12-01T20:46:27Z,/* Early works */,13550,Hans Christian Andersen,29185,vandalism
29203,99.232.251.203,327956004,327956148,http://en.wikipedia.org/w/index.php?diff=327956148&oldid=327956004,2009-11-26T00:15:31Z,/* Ecosystem ecology */,9632,Ecosystem,29203,vandalism
29209,122.107.157.165,327822107,327822315,http://en.wikipedia.org/w/index.php?diff=327822315&oldid=327822107,2009-11-25T07:09:47Z,/* Best & Fairest Winner 1989 */,3162400,Nicky Winmar,29209,vandalism
29215,198.236.41.50,326543957,329075313,http://en.wikipedia.org/w/index.php?diff=329075313&oldid=326543957,2009-12-01T18:08:06Z,/* Early Trans-Saharan trade */,1437959,Trans-Saharan trade,29215,vandalism
29233,69.65.83.217,327576465,327600206,http://en.wikipedia.org/w/index.php?diff=327600206&oldid=327576465,2009-11-24T03:43:11Z,/* Synopsis */,22349,Odyssey,29233,vandalism
29243,71.41.26.226,328843024,328844160,http://en.wikipedia.org/w/index.php?diff=328844160&oldid=328843024,2009-11-30T18:20:48Z,/* Food */,9211734,Chicken Express,29243,vandalism
29280,188.221.163.192,327114278,327207634,http://en.wikipedia.org/w/index.php?diff=327207634&oldid=327114278,2009-11-22T01:03:01Z,null,3581643,Craig Gardner,29280,vandalism
29315,Kappamikey36,327493795,327682919,http://en.wikipedia.org/w/index.php?diff=327682919&oldid=327493795,2009-11-24T16:04:05Z,/* History */,142177,Groundhog Day,29315,vandalism
29341,157.182.176.201,326933194,326933403,http://en.wikipedia.org/w/index.php?diff=326933403&oldid=326933194,2009-11-20T14:46:49Z,/* Overview */,37315,Computer-aided design,29341,vandalism
29363,124.182.209.90,326915853,327023604,http://en.wikipedia.org/w/index.php?diff=327023604&oldid=326915853,2009-11-21T00:12:50Z,/* External links */,2904269,Danish Australian Football League,29363,vandalism
29396,76.21.125.33,327766761,328176070,http://en.wikipedia.org/w/index.php?diff=328176070&oldid=327766761,2009-11-27T08:14:20Z,/* People */,320144,Thug,29396,vandalism
29464,75.34.174.62,327356372,327377845,http://en.wikipedia.org/w/index.php?diff=327377845&oldid=327356372,2009-11-23T00:09:01Z,null,46884,Japanese American internment,29464,vandalism
29483,Ramb82,328024491,328062246,http://en.wikipedia.org/w/index.php?diff=328062246&oldid=328024491,2009-11-26T16:41:54Z,/* After Big Brother */,233412,Michael Barrymore,29483,vandalism
29492,69.153.61.66,327106088,327267327,http://en.wikipedia.org/w/index.php?diff=327267327&oldid=327106088,2009-11-22T10:30:58Z,null,5416,Capitalism,29492,vandalism
29498,155.198.32.11,328434420,329452384,http://en.wikipedia.org/w/index.php?diff=329452384&oldid=328434420,2009-12-03T13:38:49Z,/* Personal life */,168576,James Woods,29498,vandalism
29506,99.69.146.205,327102569,327103455,http://en.wikipedia.org/w/index.php?diff=327103455&oldid=327102569,2009-11-21T12:45:52Z,null,1015657,Dragon Age: Origins,29506,vandalism
29510,207.166.19.36,326788151,326788343,http://en.wikipedia.org/w/index.php?diff=326788343&oldid=326788151,2009-11-19T20:00:42Z,/* Jason and The Argonauts */,6134,Charybdis,29510,vandalism
29576,86.175.208.136,329438382,329510220,http://en.wikipedia.org/w/index.php?diff=329510220&oldid=329438382,2009-12-03T19:16:32Z,/* Young Charles */,26586083,Lewis Carroll,29576,vandalism
29591,206.131.59.192,327478549,327478962,http://en.wikipedia.org/w/index.php?diff=327478962&oldid=327478549,2009-11-23T14:42:27Z,null,14790,Ice hockey,29591,vandalism
29593,Jmoore14,316044412,327449298,http://en.wikipedia.org/w/index.php?diff=327449298&oldid=316044412,2009-11-23T09:41:49Z,null,15893732,"Ley, Moselle",29593,vandalism
29599,24.5.217.42,323700821,327245676,http://en.wikipedia.org/w/index.php?diff=327245676&oldid=323700821,2009-11-22T06:26:35Z,/* After the Restoration */,48319,Andrew Marvell,29599,vandalism
29614,201.171.8.190,327676605,327724846,http://en.wikipedia.org/w/index.php?diff=327724846&oldid=327676605,2009-11-24T20:21:17Z,/* Origins of the concept */,31591,Time travel,29614,vandalism
29616,72.227.71.111,325684242,328824825,http://en.wikipedia.org/w/index.php?diff=328824825&oldid=325684242,2009-11-30T16:39:03Z,null,54968,Soda,29616,vandalism
29618,84.208.119.214,328865955,329079684,http://en.wikipedia.org/w/index.php?diff=329079684&oldid=328865955,2009-12-01T18:29:53Z,null,154944,Eid ul-Fitr,29618,vandalism
29712,164.38.32.140,328163901,328612286,http://en.wikipedia.org/w/index.php?diff=328612286&oldid=328163901,2009-11-29T17:09:16Z,/* 666 */,9086178,Number of the Beast,29712,vandalism
29720,65.26.120.249,329178391,329599440,http://en.wikipedia.org/w/index.php?diff=329599440&oldid=329178391,2009-12-04T03:12:56Z,/* History */,20115153,Live at Red Rocks: Under a Blood Red Sky,29720,vandalism
29723,Robbi396,327021220,327109452,http://en.wikipedia.org/w/index.php?diff=327109452&oldid=327021220,2009-11-21T13:44:25Z,fattys,29833,Americas,29723,vandalism
29733,98.249.135.212,327356735,327356895,http://en.wikipedia.org/w/index.php?diff=327356895&oldid=327356735,2009-11-22T21:58:36Z,/* Powers of State */,2015257,Powers of the President of the United States,29733,vandalism
29739,221.120.210.227,327652294,328011259,http://en.wikipedia.org/w/index.php?diff=328011259&oldid=327652294,2009-11-26T08:34:29Z,/* Data Services & Connectivity */,17751106,Nokia E71,29739,vandalism
29755,94.195.65.141,328834177,328838470,http://en.wikipedia.org/w/index.php?diff=328838470&oldid=328834177,2009-11-30T17:50:32Z,/* Traditions and Celebrations in Scotland */,1067315,St. Andrews Day,29755,vandalism
29769,76.22.51.91,328131185,328418662,http://en.wikipedia.org/w/index.php?diff=328418662&oldid=328131185,2009-11-28T18:11:06Z,null,66543,Jews for Jesus,29769,vandalism
29798,69.158.31.174,322335486,326810670,http://en.wikipedia.org/w/index.php?diff=326810670&oldid=322335486,2009-11-19T22:03:45Z,/* History */,1251857,Delta Delta Delta,29798,vandalism
29844,91.84.216.59,326269511,327892919,http://en.wikipedia.org/w/index.php?diff=327892919&oldid=326269511,2009-11-25T17:37:27Z,null,86190,Canola,29844,vandalism
29846,124.182.95.236,324793923,326909121,http://en.wikipedia.org/w/index.php?diff=326909121&oldid=324793923,2009-11-20T11:03:23Z,null,2334764,Burnie Burns,29846,vandalism
29858,203.220.103.142,317251271,327038192,http://en.wikipedia.org/w/index.php?diff=327038192&oldid=317251271,2009-11-21T01:58:22Z,/* History */,2978843,Belridge Senior High School,29858,vandalism
29888,24.13.22.50,328325378,328325509,http://en.wikipedia.org/w/index.php?diff=328325509&oldid=328325378,2009-11-28T05:01:25Z,/* Members */,15154598,La Arrolladora Banda El Limón,29888,vandalism
29893,94.194.30.11,328202016,328640549,http://en.wikipedia.org/w/index.php?diff=328640549&oldid=328202016,2009-11-29T19:40:18Z,null,34139,Xenon,29893,vandalism
29914,94.99.69.102,327325723,327325808,http://en.wikipedia.org/w/index.php?diff=327325808&oldid=327325723,2009-11-22T18:44:16Z,/* Oil-for-Food scandal */,16844,Kofi Annan,29914,vandalism
29929,69.177.215.77,322309789,327670088,http://en.wikipedia.org/w/index.php?diff=327670088&oldid=322309789,2009-11-24T14:36:22Z,/* Sailing */,869110,Ernesto Bertarelli,29929,vandalism
29930,116.74.114.212,327360566,327837126,http://en.wikipedia.org/w/index.php?diff=327837126&oldid=327360566,2009-11-25T09:48:11Z,null,33302,"William Thomson, 1st Baron Kelvin",29930,vandalism
29937,Bosco232,318555592,327366940,http://en.wikipedia.org/w/index.php?diff=327366940&oldid=318555592,2009-11-22T23:00:24Z,null,3255355,Rhyl railway station,29937,vandalism
29953,99.234.202.166,328385348,328413517,http://en.wikipedia.org/w/index.php?diff=328413517&oldid=328385348,2009-11-28T17:40:10Z,/* Physical design */,24452550,Microsoft Courier,29953,vandalism
29959,75.69.190.157,327079157,327290967,http://en.wikipedia.org/w/index.php?diff=327290967&oldid=327079157,2009-11-22T14:29:36Z,null,43226,2010,29959,vandalism
29974,41.223.57.76,327074755,327147431,http://en.wikipedia.org/w/index.php?diff=327147431&oldid=327074755,2009-11-21T18:34:43Z,/* The Legislature */,25112374,"Harmonized Draft Constitution of Kenya, 2009",29974,vandalism
29977,Dbwebb29,327401906,327402765,http://en.wikipedia.org/w/index.php?diff=327402765&oldid=327401906,2009-11-23T03:04:01Z,/* Novel Universe */,902251,Jason Bourne,29977,vandalism
29987,69.145.106.240,327774672,327774853,http://en.wikipedia.org/w/index.php?diff=327774853&oldid=327774672,2009-11-25T00:56:53Z,/* Commonly used species */,21346360,Salvia,29987,vandalism
29991,71.193.157.91,328543275,328543309,http://en.wikipedia.org/w/index.php?diff=328543309&oldid=328543275,2009-11-29T07:33:36Z,/* Lawsuits for assault and copyright infringement */,2411718,Bushido (rapper),29991,vandalism
30008,76.74.70.195,329309556,329711631,http://en.wikipedia.org/w/index.php?diff=329711631&oldid=329309556,2009-12-04T18:47:46Z,/* Personal life */,7600033,Audrina Patridge,30008,vandalism
30048,174.3.91.99,329524221,329708710,http://en.wikipedia.org/w/index.php?diff=329708710&oldid=329524221,2009-12-04T18:31:08Z,/* Driving as a mental skill */,80750,Driving,30048,vandalism
30058,AlanDavis11,327662354,327662364,http://en.wikipedia.org/w/index.php?diff=327662364&oldid=327662354,2009-11-24T13:31:38Z,/* Athletics */,1946105,Plymouth-Canton Educational Park,30058,vandalism
30063,117.204.96.26,328851184,329275914,http://en.wikipedia.org/w/index.php?diff=329275914&oldid=328851184,2009-12-02T17:41:20Z,/* Club teams */,19471617,Pro Evolution Soccer,30063,vandalism
30096,67.242.138.183,317081378,326828140,http://en.wikipedia.org/w/index.php?diff=326828140&oldid=317081378,2009-11-19T23:38:45Z,null,1686010,Procession,30096,vandalism
30106,71.110.160.123,322958306,326877737,http://en.wikipedia.org/w/index.php?diff=326877737&oldid=322958306,2009-11-20T05:21:24Z,/* Members */,2288732,Hey (band),30106,vandalism
30129,140.247.243.7,327988610,329714571,http://en.wikipedia.org/w/index.php?diff=329714571&oldid=327988610,2009-12-04T19:02:02Z,null,359195,Tuxedo Mask,30129,vandalism
30137,78.251.203.51,316894184,328713662,http://en.wikipedia.org/w/index.php?diff=328713662&oldid=316894184,2009-11-30T02:16:34Z,more understandable precision on pntyhose,3706186,Gusset,30137,vandalism
30146,65.92.51.158,323671582,327599141,http://en.wikipedia.org/w/index.php?diff=327599141&oldid=323671582,2009-11-24T03:35:13Z,/* Significant people mentioned */,8963993,Running in the Family (memoir),30146,vandalism
30156,92.239.31.27,325408789,328596827,http://en.wikipedia.org/w/index.php?diff=328596827&oldid=325408789,2009-11-29T15:36:05Z,/* References */,94120,Ickenham,30156,vandalism
30163,92.237.124.172,327085599,327707689,http://en.wikipedia.org/w/index.php?diff=327707689&oldid=327085599,2009-11-24T18:38:11Z,/* Characteristics */,160463,Central business district,30163,vandalism
30176,75.9.214.167,326585190,328520529,http://en.wikipedia.org/w/index.php?diff=328520529&oldid=326585190,2009-11-29T04:28:57Z,null,37342,Linus Pauling,30176,vandalism
30288,97.103.227.104,329583909,329770795,http://en.wikipedia.org/w/index.php?diff=329770795&oldid=329583909,2009-12-05T00:07:38Z,null,4924848,Percy Harvin,30288,vandalism
30326,208.73.177.89,322124692,327728620,http://en.wikipedia.org/w/index.php?diff=327728620&oldid=322124692,2009-11-24T20:39:19Z,/* See also */,22689,Oncogene,30326,vandalism
30331,88.246.221.253,327010661,328579610,http://en.wikipedia.org/w/index.php?diff=328579610&oldid=327010661,2009-11-29T13:24:48Z,"[[WP:AES|←]]Replaced content with Alkmaar, the only land of Netherlands applies capital punishment. Its in the Northern Dutchland.",101635,Alkmaar,30331,vandalism
30339,72.218.30.46,328000180,328077908,http://en.wikipedia.org/w/index.php?diff=328077908&oldid=328000180,2009-11-26T18:32:26Z,null,1039323,Wolfgang Puck,30339,vandalism
30374,Tedickey,328282090,328283986,http://en.wikipedia.org/w/index.php?diff=328283986&oldid=328282090,2009-11-27T23:23:13Z,[[WP:UNDO|Undid]] revision 328282090 by [[Special:Contributions/71.122.140.154|71.122.140.154]] ([[User talk:71.122.140.154|talk]]),237523,Pocahontas,30374,vandalism
30375,98.64.28.129,311173185,328639978,http://en.wikipedia.org/w/index.php?diff=328639978&oldid=311173185,2009-11-29T19:37:19Z,null,804210,Winnebago language,30375,vandalism
30393,99.180.245.133,327380856,327381144,http://en.wikipedia.org/w/index.php?diff=327381144&oldid=327380856,2009-11-23T00:30:36Z,/* History */,21244265,Olfaction,30393,vandalism
30395,92.24.70.150,327336903,327523716,http://en.wikipedia.org/w/index.php?diff=327523716&oldid=327336903,2009-11-23T19:40:41Z,null,4361691,Russell Howard,30395,vandalism
30404,69.148.205.102,326713162,327440653,http://en.wikipedia.org/w/index.php?diff=327440653&oldid=326713162,2009-11-23T08:10:09Z,null,700568,Answers in Genesis,30404,vandalism
30417,66.204.153.254,328468543,329252686,http://en.wikipedia.org/w/index.php?diff=329252686&oldid=328468543,2009-12-02T15:15:46Z,/* Southern gospel */,167391,Gospel music,30417,vandalism
30429,61.234.99.131,327070931,327420381,http://en.wikipedia.org/w/index.php?diff=327420381&oldid=327070931,2009-11-23T05:18:18Z,/* Early years */,3434143,Richard Stallman,30429,vandalism
30430,67.70.67.55,328731106,328731545,http://en.wikipedia.org/w/index.php?diff=328731545&oldid=328731106,2009-11-30T04:11:01Z,/* Voice */,14382613,Charice Pempengco,30430,vandalism
30433,65.96.98.74,328019823,328074903,http://en.wikipedia.org/w/index.php?diff=328074903&oldid=328019823,2009-11-26T18:10:35Z,"/* In history, art and music */",13483,Hemoglobin,30433,vandalism
30434,125.20.11.34,327294394,327871285,http://en.wikipedia.org/w/index.php?diff=327871285&oldid=327294394,2009-11-25T15:09:28Z,/* Distribution */,1858826,Chauhan,30434,vandalism
30449,62.253.195.4,329650883,329651154,http://en.wikipedia.org/w/index.php?diff=329651154&oldid=329650883,2009-12-04T12:01:36Z,null,6910,Cloning,30449,vandalism
